seriesId,seriesDescription,unit
PAPRP,Crude oil production (including lease condensate),Thousand barrels
DFCCD,Distillate fuel oil price in the commercial sector,Dollars per million Btu
RETCB,Renewable energy total consumption,Billion Btu
REPRB,Renewable energy production,Billion Btu
PARCB,All petroleum products consumed by the residential sector,Billion Btu
PAICP,All petroleum products consumed by the industrial sector,Thousand barrels
JFTCB,Jet fuel total consumption,Billion Btu
PARCD,All petroleum products average price in the residential sector,Dollars per million Btu
KSICV,Kerosene expenditures in the industrial sector,Million dollars
PCEID,Petroleum coke price in the electric power sector,Dollars per million Btu
NUEGD,Nuclear fuel price in the electric power sector,Dollars per million Btu
LUTCB,Lubricants total consumption,Billion Btu
PEISB,"Primary energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
P1ISB,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector excluding refinery fuel and intermediate products",Billion Btu
TNASB,"Total net energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PCEIP,Petroleum coke consumed by the electric power sector,Thousand barrels
PCCCV,Petroleum coke expenditures in the commercial sector,Million dollars
RFCCB,Residual fuel oil consumed by the commercial sector,Billion Btu
TNRSB,"Total net energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
NUEGV,Nuclear fuel expenditures in the electric power sector,Million dollars
PERSB,"Primary energy consumed by the residential sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PCCCP,Petroleum coke consumed by the commercial sector,Thousand barrels
RFSCB,Residential fuel oil total consumption excluding process fuel,Billion Btu
NUETD,"Nuclear fuel average price, all sectors",Dollars per million Btu
PAPRB,Crude oil production (including lease condensate),Billion Btu
PCEIV,Petroleum coke expenditures in the electric power sector,Million dollars
P1SCB,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption adjusted for process fuel and intermediate products",Billion Btu
PPTCB,Natural gasoline (pentanes plus) total consumption,Billion Btu
NUEGP,Nuclear electricity net generation in the electric power sector,Million kilowatthours
NUETB,"Nuclear energy consumed for electricity generation, total",Billion Btu
NGASB,Natural gas consumed by the transportation sector adjusted for process fuel,Billion Btu
PCEIB,Petroleum coke consumed by the electric power sector,Billion Btu
NUEGB,Nuclear energy consumed for electricity generation by the electric power sector,Billion Btu
P5RFB,Other petroleum products consumed as refinery fuel and intermediate products,Billion Btu
PCICB,Petroleum coke consumed in the industrial sector,Billion Btu
HLSCB,Hydrocarbon gas liquids total consumption adjusted for processed fuel,Billion Btu
PLICB,Plant condensate consumed by the industrial sector (through 1983),Billion Btu
LUACP,Lubricants consumed by the transportation sector,Thousand barrels
LOTCB,Total electrical system energy losses,Billion Btu
LUICB,Lubricants consumed by the industrial sector,Billion Btu
LUICP,Lubricants consumed by the industrial sector,Thousand barrels
CLSCB,Coal total consumption adjusted for process fuel,Billion Btu
ESSCB,Electricity total consumption adjusted for process fuel,Billion Btu
LOACB,The transportation sector's share of electrical system energy losses,Billion Btu
CLISB,Coal consumed by the industrial sector excluding refinery fuel,Billion Btu
LOTXB,Total electrical system energy losses allocated to the end-use sectors,Billion Btu
JFTXV,Jet fuel total end-use expenditures,Million dollars
HYEGB,Hydropower consumed for electricity generation by the electric power sector,Billion Btu
HYTCP,Hydroelectricity total net generation,Million kilowatthours
HYEGP,Hydroelectricity net generation in the electric power sector,Million kilowatthours
HYTCB,Hydropower total consumption,Billion Btu
JFTCV,Jet fuel total expenditures,Million dollars
PEASB,"Primary energy consumed by the transportation sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
JFACD,Jet fuel price in the transportation sector,Dollars per million Btu
JFACB,Jet fuel consumed by the transportation sector,Billion Btu
JFTXB,Jet fuel total end-use consumption,Billion Btu
LORCB,The residential sector's share of electrical system energy losses,Billion Btu
LUACB,Lubricants consumed by the transportation sector,Billion Btu
PAISB,All petroleum products consumed by the industrial sector excluding process fuel and intermediate products,Billion Btu
PCICD,Petroleum coke price in the industrial sector,Dollars per million Btu
LOICB,The industrial sector's share of electrical system energy losses,Billion Btu
LUTCP,Lubricants total consumption,Thousand barrels
PCSCB,Petroleum coke total consumption adjusted for process fuel,Billion Btu
LUICV,Lubricants expenditures in the industrial sector,Million dollars
DFEIB,Distillate fuel oil consumed by the electric power sector,Billion Btu
LUTXB,Lubricants total end-use consumption,Billion Btu
PLICP,Plant condensate consumed by the industrial sector (through 1983),Thousand barrels
DFEIP,Distillate fuel oil consumed by the electric power sector,Thousand barrels
PCRFB,Petroleum coke consumed as refinery fuel,Billion Btu
PCTCP,Petroleum coke total consumption,Thousand barrels
ESTXV,Electricity total end-use expenditures,Million dollars
LUTXP,Lubricants total end-use consumption,Thousand barrels
TNCSB,"Total net energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
NGMPP,Natural gas marketed production,Million cubic feet
PCISB,Petroleum coke consumed by the industrial sector excluding refinery fuel,Billion Btu
PASCB,All petroleum products total consumption adjusted for process fuel and intermediate products,Billion Btu
WWSCB,"Wood and waste energy total consumption, adjusted for fuels with no direct cost",Billion Btu
NGSCB,Natural gas total consumption adjusted for process fuel,Billion Btu
HYTXB,Hydropower energy total end-use consumption,Billion Btu
ESTXD,"Electricity average price, all end-use sectors",Dollars per million Btu
ESTCV,Electricity total expenditures,Million dollars
FFTCB,Fossil fuels total consumption,Billion Btu
HYTXP,"Hydroelectricity, total end-use net generation",Million kilowatthours
ESTCD,"Electricity average price, all sectors",Dollars per million Btu
ESTXP,Electricity total end-use consumption (electricity sales to ultimate customers),Million kilowatthours
ESTXB,Electricity total end-use consumption (electricity sales to ultimate customers),Billion Btu
LOCCB,The commercial sector's share of electrical system energy losses,Billion Btu
PAEID,All petroleum products average price in the electric power sector,Dollars per million Btu
HYICP,Hydroelectricity net generation in the industrial sector,Million kilowatthours
TNISB,"Total net energy consumed by the industrial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PCTCD,"Petroleum coke average price, all sectors",Dollars per million Btu
PCICV,Petroleum coke expenditures in the industrial sector,Million dollars
KSCCP,Kerosene consumed by the commercial sector,Thousand barrels
KSICB,Kerosene consumed by the industrial sector,Billion Btu
RFACV,Residual fuel oil expenditures in the transportation sector,Million dollars
PCTCB,Petroleum coke total consumption,Billion Btu
KSTXP,Kerosene total end-use consumption,Thousand barrels
DFSCB,Distillate fuel oil total consumption adjusted for process fuel,Billion Btu
KSCCB,Kerosene consumed by the commercial sector,Billion Btu
NGTCK,Factor for converting natural gas total consumption from physical units to Btu,Thousand Btu per cubic foot
KSTXV,Kerosene total end-use expenditures,Million dollars
PCCCD,Petroleum coke price in the commercial sector,Dollars per million Btu
NGISB,Natural gas consumed by the industrial sector excluding refinery fuel,Billion Btu
NUETP,Nuclear electricity total net generation,Million kilowatthours
KSTCP,Kerosene total consumption,Thousand barrels
KSRCP,Kerosene consumed by the residential sector,Thousand barrels
KSTCB,Kerosene total consumption,Billion Btu
KSTXB,Kerosene total end-use consumption,Billion Btu
PESCB,"Primary energy total consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
PCICP,Petroleum coke consumed in the industrial sector,Thousand barrels
PCTCV,Petroleum coke total expenditures,Million dollars
PECSB,"Primary energy consumed by the commercial sector, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
MSICB,Miscellaneous petroleum products consumed by the industrial sector,Billion Btu
NGEID,Natural gas price in the electric power sector (including supplemental gaseous fuels),Dollars per million Btu
KSTXD,"Kerosene average price, all end-use sectors",Dollars per million Btu
PPTCP,Natural gasoline (pentanes plus) total consumption,Thousand barrels
KSTCD,"Kerosene average price, all sectors",Dollars per million Btu
KSRCV,Kerosene expenditures in the residential sector,Million dollars
MSICD,Miscellaneous petroleum products price in the industrial sector,Dollars per million Btu
MSICP,Miscellaneous petroleum products consumed by the industrial sector,Thousand barrels
NUETV,Nuclear fuel total expenditures,Million dollars
NGICB,Natural gas consumed by the industrial sector (including supplemental gaseous fuels),Billion Btu
KSTCV,Kerosene total expenditures,Million dollars
NGICP,Natural gas consumed by the industrial sector (including supplemental gaseous fuels),Million cubic feet
SGICP,Still gas consumed by the industrial sector,Thousand barrels
KSCCD,Kerosene price in the commercial sector,Dollars per million Btu
KSICD,Kerosene price in the industrial sector,Dollars per million Btu
ESCCD,Electricity price in the commercial sector,Dollars per million Btu
ESICD,Electricity price in the industrial sector,Dollars per million Btu
ESISB,Electricity sales to the industrial sector excluding refinery use,Billion Btu
ESRCV,Electricity expenditures in the residential sector,Million dollars
ESRCD,Electricity price in the residential sector,Dollars per million Btu
ESCCV,Electricity expenditures in the commercial sector,Million dollars
ESICV,Electricity expenditures in the industrial sector,Million dollars
KSRCD,Kerosene price in the residential sector,Dollars per million Btu
NGRCP,"Natural gas delivered to the residential sector, used as consumption (including supplemental gaseous fuels)",Million cubic feet
NGRCD,Natural gas price in the residential sector (including supplemental gaseous fuels),Dollars per million Btu
NGTCB,Natural gas total consumption (including supplemental gaseous fuels),Billion Btu
WSCCB,Waste energy consumed by the commercial sector,Billion Btu
NGRCV,Natural gas expenditures in the residential sector (including supplemental gaseous fuels),Million dollars
NGICD,Natural gas price in the industrial sector (including supplemental gaseous fuels),Dollars per million Btu
NGTXP,Natural gas total end-use consumption (including supplemental gaseous fuels),Million cubic feet
NGPZB,Natural gas for pipeline and distribution use,Billion Btu
NGRFB,Natural gas consumed as refinery fuel,Billion Btu
NGTCD,"Natural gas average price, all sectors (including supplemental gaseous fuels)",Dollars per million Btu
WDEIB,Wood consumed by the electric power sector,Billion Btu
NGLPB,Natural gas consumed as lease and plant fuel,Billion Btu
NGRCB,"Natural gas delivered to the residential sector, used as consumption (including supplemental gaseous fuels)",Billion Btu
RFTCP,Residual fuel oil total consumption,Thousand barrels
NGCCP,"Natural gas delivered to the commercial sector, used as consumption (including supplemental gaseous fuels)",Million cubic feet
NGICV,Natural gas expenditures in the industrial sector (including supplemental gaseous fuels),Million dollars
WDICB,Wood energy consumed by the industrial sector,Billion Btu
WSEIB,Waste consumed by the electric power sector,Billion Btu
NGTXD,"Natural gas average price, all end-use sectors (including supplemental gaseous fuels)",Dollars per million Btu
WSICB,Waste energy consumed by the industrial sector,Billion Btu
NGTCP,Natural gas total consumption (including supplemental gaseous fuels),Million cubic feet
NGTCV,Natural gas total expenditures (including supplemental gaseous fuels),Million dollars
USICP,Unfractionated streams consumed by the industrial sector (through 1983),Thousand barrels
NGMPK,Factor for converting marketed natural gas production from physical units to Btu,Thousand Btu per cubic feet
NGMPB,Natural gas marketed production,Billion Btu
WWIXB,Wood and waste energy consumed in the industrial sector at no cost,Billion Btu
WWISB,Wood and waste energy consumed in the industrial sector at a cost,Billion Btu
NGEIV,Natural gas expenditures in the electric power sector (including supplemental gaseous fuels),Million dollars
NGEIB,Natural gas consumed by the electric power sector (including supplemental gaseous fuels),Billion Btu
NGCCV,Natural gas expenditures in the commercial sector (including supplemental gaseous fuels),Million dollars
TERFB,Total energy used as refinery fuel and intermediate products,Billion Btu
WYEGB,Wind energy consumed for electricity generation by the electric power sector,Billion Btu
WXICD,Waxes price in the industrial sector,Dollars per million Btu
NGTXV,Natural gas total end-use expenditures (including supplemental gaseous fuels),Million dollars
NGTXB,Natural gas total end-use consumption (including supplemental gaseous fuels),Billion Btu
NGTXK,Factor for converting natural gas used by end-use sectors from physical units to Btu,Thousand Btu per cubic foot
USICB,Unfractionated streams consumed by the industrial sector (through 1983),Billion Btu
UOICP,Unfinished oils consumed by the industrial sector,Thousand barrels
UOICB,Unfinished oils consumed by the industrial sector,Billion Btu
WXICV,Waxes expenditures in the industrial sector,Million dollars
ESCCP,Electricity consumed by (sales to ultimate customers in) the commercial sector,Million kilowatthours
NAICP,Natural gasoline consumed by the industrial sector (through 1983),Thousand barrels
NGEIP,Natural gas consumed by the electric power sector (including supplemental gaseous fuels),Million cubic feet
NAICB,Natural gasoline consumed by the industrial sector (through 1983),Billion Btu
MSICV,Miscellaneous petroleum products expenditures in the industrial sector,Million dollars
FSICB,"Petrochemical feedstocks, still gas, consumed by the industrial sector (through 1985)",Billion Btu
NUETK,Factor for converting electricity generated from nuclear power from physical units to Btu,Thousand Btu per kilowatthour
NGACV,Natural gas expenditures in the transportation sector,Million dollars
NGEIK,Factor for converting natural gas consumed by the electric power sector from physical units to Btu,Thousand Btu per cubic foot
MBICP,Motor gasoline blending components consumed by the industrial sector,Thousand barrels
NGACD,Natural gas price in the transportation sector,Dollars per million Btu
SFEIB,Supplemental gaseous fuels consumed by the electric power sector,Billion Btu
RFTXP,Residual fuel oil total end-use consumption,Thousand barrels
RFTXB,Residual fuel oil total end-use consumption,Billion Btu
KSCCV,Kerosene expenditures in the commercial sector,Million dollars
MBICB,Motor gasoline blending components consumed by the industrial sector,Billion Btu
MGTCK,Factor for converting motor gasoline from physical units to Btu,Million Btu per barrel
MGTCP,Motor gasoline total consumption,Thousand barrels
DFACV,Distillate fuel oil expenditures in the transportation sector,Million dollars
MGTXP,Motor gasoline total end-use consumption,Thousand barrels
MMACB,"Motor gasoline, excluding fuel ethanol, consumed by the transportation sector",Billion Btu
HLTCK,Average factor for converting hydrocarbon gas liquids total consumption from physical unit to Btu,Million Btu per barrel
HLICK,Average factor for converting hydrocarbon gas liquids consumed by the industrial sector from physical unit to Btu,Million Btu per barrel
HLCCB,Hydrocarbon gas liquids consumed by the commercial sector,Billion Btu
HLACD,Hydrocarbon gas liquids price in the transportation sector,Dollars per million Btu
HLTCB,Hydrocarbon gas liquids total consumption,Billion Btu
PCTXD,"Petroleum coke average price, all end-use sectors",Dollars per million Btu
HLICV,Hydrocarbon gas liquids expenditures in the industrial sector,Million dollars
HLTCD,"Hydrocarbon gas liquids average price, all sectors",Dollars per million Btu
HLTXV,Hydrocarbon gas liquids total end-use expenditures,Million dollars
HLTXP,Hydrocarbon gas liquids total end-use consumption,Thousand barrels
HLACV,Hydrocarbon gas liquids expenditures in the transportation sector,Million dollars
PCTXV,Petroleum coke total end-use expenditures,Million dollars
HLRCP,Hydrocarbon gas liquids consumed by the residential sector,Thousand barrels
